china_abs_off	section	rel_off	d3txt00_index
96511	10	5271	666
96673	10	5433	328
96771	10	5531	1225
96803	10	5563	1264
97542	11	598	390
97681	11	737	676
97713	11	769	1427
97745	11	801	564
97777	11	833	894
97809	11	865	376
98227	11	1283	1442
98331	11	1387	524
98363	11	1419	890
98428	11	1484	861
98493	11	1549	471
98655	11	1711	302
98687	11	1743	1243
98789	11	1845	869
98982	11	2038	441
99047	11	2103	1441
99500	11	2556	698
99532	11	2588	796
100016	11	3072	730
100049	11	3105	564
100209	11	3265	579
100373	11	3429	444
100405	11	3461	1308
100438	11	3494	1423
100505	11	3561	531
101005	11	4061	1000
101037	11	4093	451
101166	11	4222	303
101198	11	4254	1111
101230	11	4286	309
101262	11	4318	868
101647	11	4703	1330
101776	11	4832	341
101840	11	4896	923
102098	11	5154	1160
102163	11	5219	220
102195	11	5251	685
102227	11	5283	1368
102389	11	5445	449
102421	11	5477	625
102520	11	5576	491
102553	11	5609	446
102585	11	5641	1072
102650	11	5706	413
102714	11	5770	1376
102778	11	5834	168
102810	11	5866	1259
103079	11	6135	1387
103273	11	6329	189
103339	11	6395	652
103403	11	6459	462
103531	11	6587	1443
103564	11	6620	312
103596	11	6652	507
103757	11	6813	1023
103886	11	6942	415
104378	11	7434	561
104443	11	7499	524
104475	11	7531	265
104797	11	7853	794
104829	11	7885	1409
104925	11	7981	295
105087	11	8143	1189
105216	11	8272	991
105312	11	8368	481
105346	11	8402	481
105477	11	8533	172
105733	11	8789	223
105862	11	8918	1266
106090	11	9146	296
106218	11	9274	343
107151	12	631	636
107183	12	663	362
107375	12	855	1228
107695	12	1175	1155
107919	12	1399	1372
108016	12	1496	1026
108048	12	1528	420
108080	12	1560	863
108112	12	1592	971
108144	12	1624	1260
108208	12	1688	624
108304	12	1784	350
108817	12	2297	1122
108849	12	2329	542
109042	12	2522	523
109074	12	2554	1103
109138	12	2618	1254
109170	12	2650	1079
109234	12	2714	1466
109458	12	2938	1219
109844	12	3324	657
109876	12	3356	368
109972	12	3452	1071
110390	12	3870	1253
110422	12	3902	199
110518	12	3998	914
110583	12	4063	1130
110782	12	4262	657
110814	12	4294	368
110910	12	4390	1071
111264	12	4744	1253
111296	12	4776	199
111392	12	4872	914
111425	12	4905	1130
111457	12	4937	1253
111684	12	5164	870
111812	12	5292	687
111972	12	5452	1364
112261	12	5741	1150
112293	12	5773	464
112325	12	5805	1222
112390	12	5870	270
112486	12	5966	260
112518	12	5998	483
112690	12	6170	590
112722	12	6202	1193
113074	12	6554	304
113204	12	6684	543
113236	12	6716	815
113300	12	6780	1138
113781	12	7261	649
113813	12	7293	965
113845	12	7325	298
114007	12	7487	1453
114137	12	7617	805
114169	12	7649	765
114330	12	7810	633
114362	12	7842	1417
114394	12	7874	597
114426	12	7906	777
114684	12	8164	1124
114716	12	8196	1468
114780	12	8260	906
115166	12	8646	956
115230	12	8710	164
115262	12	8742	647
115583	12	9063	953
115615	12	9095	917
115711	12	9191	791
115743	12	9223	1124
115775	12	9255	1468
115807	12	9287	1167
116353	12	9833	926
116385	12	9865	173
116513	12	9993	227
116545	12	10025	480
116708	12	10188	696
116740	12	10220	1007
116772	12	10252	963
116836	12	10316	1028
116932	12	10412	952
117094	12	10574	177
117222	12	10702	827
117288	12	10768	978
117384	12	10864	1367
117417	12	10897	460
117449	12	10929	476
117579	12	11059	525
117611	12	11091	338
118157	12	11637	1385
118221	12	11701	1159
118350	12	11830	1058
118382	12	11862	1255
118414	12	11894	240
118446	12	11926	1050
118510	12	11990	1183
118939	12	12419	1285
119196	12	12676	759
119517	12	12997	1284
119742	12	13222	908
119774	12	13254	1303
119806	12	13286	237
119838	12	13318	621
119870	12	13350	1137
119902	12	13382	1107
120062	12	13542	1471
120368	12	13848	1355
120400	12	13880	298
120432	12	13912	1101
120784	12	14264	1245
121291	12	14771	1078
121389	12	14869	832
122615	13	663	1340
122839	13	887	1358
122968	13	1016	779
123032	13	1080	1412
123064	13	1112	642
123128	13	1176	883
123160	13	1208	258
123544	13	1592	1335
123833	13	1881	583
123865	13	1913	681
124090	13	2138	426
124122	13	2170	403
124186	13	2234	635
124619	13	2667	1301
124717	13	2765	1211
124750	13	2798	1301
125147	13	3195	1433
125340	13	3388	1446
125695	13	3743	993
125824	13	3872	1134
125856	13	3904	293
126565	13	4613	535
126597	13	4645	576
126629	13	4677	307
126661	13	4709	518
126854	13	4902	1436
126886	13	4934	1267
126951	13	4999	1382
126983	13	5031	575
127113	13	5161	751
127306	13	5354	333
127563	13	5611	1280
127630	13	5678	155
127855	13	5903	536
127887	13	5935	961
128048	13	6096	1341
128147	13	6195	1047
128179	13	6227	239
128211	13	6259	980
128436	13	6484	670
128565	13	6613	571
128739	13	6787	1217
128803	13	6851	245
129157	13	7205	614
129286	13	7334	448
129318	13	7366	1152
129434	13	7482	1143
129466	13	7514	1318
129713	13	7761	594
129777	13	7825	994
130070	13	8118	1097
130102	13	8150	206
130943	14	663	380
130975	14	695	356
131007	14	727	837
131039	14	759	549
131103	14	823	1223
131840	14	1560	1073
131904	14	1624	784
131936	14	1656	737
131968	14	1688	503
132032	14	1752	740
132257	14	1977	888
132289	14	2009	1182
132546	14	2266	689
132578	14	2298	1311
133319	14	3039	517
133351	14	3071	384
133383	14	3103	1237
133459	14	3179	955
133523	14	3243	820
133620	14	3340	277
133748	14	3468	885
133813	14	3533	722
133845	14	3565	838
133878	14	3598	582
134134	14	3854	833
134242	14	3962	514
134692	14	4412	468
134821	14	4541	845
134885	14	4605	418
135047	14	4767	783
135143	14	4863	996
135177	14	4897	1322
135468	14	5188	606
135661	14	5381	111
135693	14	5413	1174
136142	14	5862	218
136174	14	5894	1324
136431	14	6151	432
136463	14	6183	1378
136495	14	6215	485
136623	14	6343	1158
136817	14	6537	932
136849	14	6569	671
136881	14	6601	933
137236	14	6956	301
137302	14	7022	1274
137334	14	7054	763
137366	14	7086	835
137398	14	7118	439
137623	14	7343	442
137720	14	7440	609
137913	14	7633	548
137945	14	7665	763
137977	14	7697	886
138009	14	7729	1015
138041	14	7761	1439
138171	14	7891	936
138203	14	7923	263
138235	14	7955	854
138364	14	8084	531
138396	14	8116	663
138460	14	8180	1309
138589	14	8309	299
138686	14	8406	936
138718	14	8438	674
138750	14	8470	233
138782	14	8502	691
139051	14	8771	593
139309	14	9029	414
139438	14	9158	673
139470	14	9190	1094
140000	14	9720	428
140065	14	9785	181
140184	14	9904	1292
140409	14	10129	1349
140570	14	10290	520
140958	14	10678	986
140990	14	10710	1380
141022	14	10742	709
141600	14	11320	1112
141831	14	11551	1286
141863	14	11583	839
141928	14	11648	1032
141960	14	11680	850
142561	15	561	145
142593	15	593	510
142625	15	625	680
142689	15	689	1041
142881	15	881	253
143010	15	1010	946
143042	15	1042	773
143555	15	1555	538
143587	15	1587	261
143651	15	1651	1386
143972	15	1972	1241
144036	15	2036	1084
144100	15	2100	1447
144132	15	2132	626
144164	15	2164	1416
144196	15	2196	1244
144516	15	2516	848
144580	15	2580	175
144966	15	2966	545
145289	15	3289	662
145842	15	3842	187
145939	15	3939	398
146068	15	4068	484
146171	15	4171	1393
146404	15	4404	727
146533	15	4533	484
146566	15	4566	769
146630	15	4630	156
146663	15	4663	656
146759	15	4759	1379
146921	15	4921	799
147017	15	5017	1005
147308	15	5308	348
147404	15	5404	200
147436	15	5436	429
147953	15	5953	107
148017	15	6017	781
148243	15	6243	577
148275	15	6275	138
148854	15	6854	475
148886	15	6886	653
148950	15	6950	658
149080	15	7080	1177
149112	15	7112	864
149434	15	7434	1020
149499	15	7499	1153
149691	15	7691	146
149853	15	7853	924
149981	15	7981	1440
150303	15	8303	967
150335	15	8335	1059
150432	15	8432	588
150464	15	8464	1242
150701	15	8701	321
150861	15	8861	254
151118	15	9118	918
151150	15	9150	1012
151407	15	9407	586
151568	15	9568	569
151600	15	9600	484
151632	15	9632	1198
151664	15	9664	702
151696	15	9696	1419
151792	15	9792	1147
152052	15	10052	156
152087	15	10087	957
152119	15	10119	1192
152619	15	10619	1235
152988	15	10988	899
153021	15	11021	1350
153348	15	11348	197
153380	15	11380	807
153543	15	11543	665
153575	15	11575	1190
153641	15	11641	407
153705	15	11705	292
153899	15	11899	281
154060	15	12060	281
154092	15	12092	605
154857	16	593	1200
155050	16	786	587
155082	16	818	1277
155114	16	850	1462
155178	16	914	290
155500	16	1236	248
155791	16	1527	545
156846	16	2582	1171
157364	16	3100	1354
157431	16	3167	225
157623	16	3359	824
157720	16	3456	615
158140	16	3876	1170
158398	16	4134	1057
158657	16	4393	1020
158689	16	4425	581
158721	16	4457	1013
158753	16	4489	780
158882	16	4618	1013
159043	16	4779	901
159173	16	4909	1057
159270	16	5006	610
159334	16	5070	1080
159366	16	5102	1457
159398	16	5134	1263
159494	16	5230	474
159957	16	5693	440
159989	16	5725	1394
160054	16	5790	790
160118	16	5854	1313
160374	16	6110	825
160407	16	6143	631
160439	16	6175	1048
160568	16	6304	631
161139	16	6875	180
161236	16	6972	171
161474	16	7210	1248
161571	16	7307	513
161603	16	7339	316
162024	16	7760	1213
162317	16	8053	1326
162415	16	8151	1418
162481	16	8217	1459
162706	16	8442	605
163569	17	593	515
163601	17	625	1095
163633	17	657	822
163665	17	689	1321
163761	17	785	882
163793	17	817	178
163986	17	1010	435
164018	17	1042	275
164050	17	1074	782
164082	17	1106	279
164114	17	1138	817
164243	17	1267	210
164275	17	1299	711
164307	17	1331	385
164468	17	1492	1249
164500	17	1524	399
164532	17	1556	492
164564	17	1588	269
164596	17	1620	144
164628	17	1652	1119
164660	17	1684	1191
164692	17	1716	1281
164756	17	1780	1291
164788	17	1812	1288
164820	17	1844	1157
164916	17	1940	1333
164980	17	2004	1168
165558	17	2582	831
165590	17	2614	369
165686	17	2710	389
165848	17	2872	1289
166113	17	3137	874
166145	17	3169	1343
166241	17	3265	435
166307	17	3331	568
166371	17	3395	1056
166736	17	3760	505
166772	17	3796	1432
166804	17	3828	1269
166998	17	4022	648
167193	17	4217	458
167259	17	4283	264
167291	17	4315	1049
167323	17	4347	340
167356	17	4380	452
167452	17	4476	819
167484	17	4508	1438
167614	17	4638	992
167710	17	4734	789
167936	17	4960	182
168001	17	5025	1196
168419	17	5443	306
168451	17	5475	860
168580	17	5604	158
168613	17	5637	1275
168645	17	5669	160
168968	17	5992	112
169000	17	6024	553
169130	17	6154	1089
169195	17	6219	421
169293	17	6317	273
169325	17	6349	632
169357	17	6381	758
169389	17	6413	422
169421	17	6445	1224
169680	17	6704	758
169712	17	6736	1457
169744	17	6768	141
169917	17	6941	268
169949	17	6973	690
170270	17	7294	1463
170527	17	7551	427
170559	17	7583	686
170591	17	7615	329
170784	17	7808	847
170816	17	7840	427
170848	17	7872	271
170880	17	7904	688
170976	17	8000	332
171399	17	8423	909
171837	17	8861	250
171870	17	8894	909
171902	17	8926	628
171934	17	8958	1069
172178	17	9202	355
172276	17	9300	184
173195	18	643	849
173245	18	693	1325
173310	18	758	1181
173375	18	823	1294
173474	18	922	1332
173671	18	1119	600
173736	18	1184	1360
173868	18	1316	194
173900	18	1348	1315
173997	18	1445	1307
174126	18	1574	1162
174158	18	1606	1127
174190	18	1638	185
174675	18	2123	1037
174774	18	2222	599
174886	18	2334	675
175143	18	2591	1353
175240	18	2688	519
175874	18	3322	1065
176002	18	3450	871
177153	19	625	1297
177249	19	721	1118
177603	19	1075	151
177667	19	1139	324
177860	19	1332	541
177892	19	1364	703
178193	19	1665	1209
178257	19	1729	521
178321	19	1793	1172
178426	19	1898	1258
178621	19	2093	411
178653	19	2125	573
178685	19	2157	712
178720	19	2192	288
178788	19	2260	1460
178886	19	2358	584
179047	19	2519	1173
179339	19	2811	612
179372	19	2844	506
179633	19	3105	1039
179669	19	3141	935
179899	19	3371	1305
179965	19	3437	1356
179997	19	3469	424
180029	19	3501	1422
180270	19	3742	1377
180302	19	3774	1142
180431	19	3903	522
180463	19	3935	1420
180495	19	3967	1148
180559	19	4031	454
180632	19	4104	445
180665	19	4137	1077
180730	19	4202	434
180762	19	4234	445
180794	19	4266	1295
180826	19	4298	723
180973	19	4445	857
181006	19	4478	291
181641	19	5113	1413
181771	19	5243	947
182666	20	658	1086
182698	20	690	1316
182730	20	722	716
182794	20	786	1135
182859	20	851	715
182892	20	884	572
182924	20	916	148
183099	20	1091	787
183163	20	1155	497
183299	20	1291	982
183492	20	1484	342
183918	20	1910	174
184054	20	2046	770
184512	20	2504	1250
184545	20	2537	724
184614	20	2606	1356
185282	20	3274	719
185523	20	3515	1045
185555	20	3547	1110
186279	20	4271	748
186344	20	4336	603
186513	20	4505	285
186610	20	4602	511
187505	21	625	230
187537	21	657	365
187569	21	689	255
187729	21	849	997
187827	21	947	490
187860	21	980	1410
187892	21	1012	450
188473	21	1593	393
188650	21	1770	1470
188717	21	1837	1010
188749	21	1869	1470
188820	21	1940	1390
189438	21	2558	1282
189470	21	2590	770
189504	21	2624	1064
189569	21	2689	1064
189603	21	2723	1116
189672	21	2792	989
189704	21	2824	1251
189771	21	2891	989
189805	21	2925	109
190112	21	3232	1144
190144	21	3264	282
190761	21	3881	608
190793	21	3913	893
190825	21	3945	152
190971	21	4091	1036
191036	21	4156	1081
191134	21	4254	1029
191198	21	4318	639
191262	21	4382	1415
191405	21	4525	1087
191471	21	4591	1185
191964	21	5084	1175
